"dim1","dim2","type"
-0.485585290457601,-0.466394531818383,1
-0.177850796562262,0.328724329421385,1
0.728501860855576,-0.0694716441725608,1
0.0535155364325952,0.175940546240561,1
1.06431682516733,-0.197681206746844,1
-0.378900157292611,0.923982758897757,1
-0.0815265073687129,0.316585580577925,1
-0.420317346311057,0.701538686109589,1
-0.203499982627194,0.229421916254212,1
0.055342954886262,0.245087036742845,1
-0.274964768192117,0.413533714779336,1
1.18468274264119,-0.170447225772977,2
-0.0818607884330125,0.0713552403930389,2
-0.204796530967793,0.200674788013178,2
0.206046583975223,-0.146899655465058,2
-0.182227734736814,0.423784448476393,2
-0.703857923292978,-0.769429681383084,2
-0.173694867559657,-0.177977244388072,2
0.0713188612352972,0.267751399561662,2
0.178938664099551,-0.074329754525763,2
-0.317480844244523,0.366407883517585,2
-0.43204649358629,0.735879283406196,2
