,dim1,dim2,,,type
genuine,2.080081553,0.056825083,20,Adjectives,1
cool,-0.401835052,-0.100127091,20,Adjectives,1
good,-0.338404013,0.738310965,20,Adjectives,1
great,-0.2387947,-0.37156481,20,Adjectives,1
big_ass_fans,-0.397499222,0.380359759,5,Brands,2
dyson,-0.409090554,0.114622473,5,Brands,2
honeywell,-0.357229081,-0.298901462,5,Brands,2
vornado,-0.399799963,0.217352992,5,Brands,2
hoover,-0.316484607,0.129603913,5,Brands,2
oreck,2.210628876,0.1146321,5,Brands,2
shark,-0.295663491,0.039662455,5,Brands,2
bissell,-0.271678504,-0.672781667,5,Brands,2
irobot,-0.330442027,-0.584105777,5,Brands,2
eureka,0.197008653,-0.259024347,5,Brands,2
miele,0.906873578,-0.017810322,5,Brands,2
gtech,-0.407596608,1.01830355,5,Brands,2
,,,50,,
