,Dim 1,Dim 2,,,Dim 3,Dim 4,Dim 5,,,
7-UP,-0.122935419,0.044476239,0.5,Brand,-0.734968054,0.389880429,-4.45E-15,,0.5,10
Coca Cola,-0.066907479,0.071787097,0.5,Brand,-0.892537659,-0.86634756,1.551209206,,0.5,
Pepsi,-0.375607202,-0.046401411,0.5,Brand,-0.389408216,1.80001823,3.84E-15,,0.5,
Perrier,-1.069424457,1.372900036,0.5,Brand,1.269078617,-0.273595352,-3.90E-15,,0.5,
Redbull,-0.066907479,0.071787097,0.5,Brand,-0.892537659,-0.86634756,-1.551209206,,0.5,
Scweppes,-0.382429731,-1.874005216,0.5,Brand,0.980180527,-0.283052258,7.49E-15,,0.5,
Sprite,2.084211767,0.359456158,0.5,Brand,0.660192444,0.099444071,-2.50E-15,,0.5,
Design,0.195826322,-0.257197209,0.0625,Community,-0.243257842,0.053643227,8.57308E-16,,0.0625,8
Entertainment,2.289886983,0.404040141,0.0625,Community,0.759276789,0.116986656,-3.37768E-15,,0.0625,
Food,-1.17495793,1.543183255,0.0625,Community,1.459547055,-0.321859362,-5.0928E-15,,0.0625,
Gaming,-0.373943626,0.340480251,0.0625,Community,-0.377313353,0.043199575,-9.04554E-16,,0.0625,
General,-0.375442785,-0.070376696,0.0625,Community,-0.062284923,-0.446907976,-2.37834E-16,,0.0625,
Local community,2.289886983,0.404040141,0.0625,Community,0.759276789,0.116986656,-3.37768E-15,,0.0625,
Luxury Watches,0.068778843,0.008692777,0.0625,Community,0.074642029,-0.352925537,-7.67607E-16,,0.0625,
Mums,-0.416420954,-1.079299028,0.0625,Community,0.339718901,0.892284348,6.33521E-15,,0.0625,
Other,-0.793815494,0.745513297,0.0625,Community,0.505847442,0.897846931,-1.76874E-16,,0.0625,
Shopping,0.319025356,0.112651628,0.0625,Community,-0.517367406,0.130968778,-5.03499E-16,,0.0625,
Sport,-0.273870025,-0.001081977,0.0625,Community,-0.646563598,1.288105556,-5.73435E-16,,0.0625,
Teens,-0.412673058,-0.05215666,0.0625,Community,-0.447852172,2.117553224,4.63692E-15,,0.0625,
