,dim1,dim2,type,
quality,0.382567871,0.193918492,5,Adjectives
genuine,0.553623576,0.398280983,5,Adjectives
authentic,1.143367834,0.332442734,5,Adjectives
sophisticated,0.298590298,0.248361578,5,Adjectives
novel,1.069492662,-0.179564632,5,Adjectives
young,-0.384255219,0.159173805,5,Adjectives
refreshing,-0.361740607,-0.242217611,5,Adjectives
comforting,0.986535831,0.706981818,5,Adjectives
relaxing,-0.045130725,-0.004648067,5,Adjectives
tasty,0.047013173,-0.044604303,5,Adjectives
inspirational,0.39866678,-0.370894738,5,Adjectives
confident,-0.000563173,0.025483384,5,Adjectives
cynical,0.343282359,0.341514093,5,Adjectives
selfish,-0.283598967,-0.250002949,5,Adjectives
practical,-0.294158583,0.128601196,5,Adjectives
creative,0.266173329,-1.101564315,5,Adjectives
emotional,0.233637389,0.12652603,5,Adjectives
stylish,0.389037311,-0.119370205,5,Adjectives
political,0.20956031,0.204165779,5,Adjectives
responsible,0.525421499,0.275917609,5,Adjectives
spiritual,0.527498413,0.240059633,5,Adjectives
absolut,0.797617736,-2.11193737,20,Brands
smirnoff,-0.141454363,-0.291519466,20,Brands
jose_cuervo,0.82235645,0.097717114,20,Brands
jack_daniels,0.376764471,0.268678973,20,Brands
malibu,-0.802417652,0.267515558,20,Brands
sailor_jerry,0.521706497,0.418478651,20,Brands
captain_morgan,0.25104657,0.009497635,20,Brands
bacardi,-0.229488695,0.071558601,20,Brands
,,,50,
